Date,AAPL.O,MSFT.O,INTC.O,AMZN.O,GS.N,SPY,EUR=,XAU=,GDX,GLD
2013-08-13,17.484625372500002,32.23,22.52,14.698500000000003,163.71,169.61,1.3261,1320.69,27.19,127.74
2013-08-14,17.803553625000003,32.35,22.57,14.567,163.34,168.74,1.3255,1334.59,28.7,129.0
2013-08-15,17.782482217500004,31.79,22.03,14.323500000000003,160.75,166.38,1.3346,1365.55,30.43,131.69
2013-08-16,17.940339202500002,31.8,21.915,14.241,160.66,165.83,1.3329,1375.79,29.79,132.58
2013-08-19,18.133553295000002,31.393,22.28,14.278500000000001,158.63,164.77,1.3333,1365.48,29.23,132.01
2013-08-20,17.8953392475,31.62,22.523,14.3545,159.56,165.58,1.3416,1370.67,30.33,132.45
2013-08-21,17.941410630000004,31.61,22.17,14.2285,157.11,164.56,1.3356,1365.74,28.93,132.07
2013-08-22,17.96283918,32.39,22.26,14.486500000000001,159.41,166.06,1.3354,1375.24,29.37,132.81
2013-08-23,17.893553535000002,34.75,22.44,14.5005,158.65,166.62,1.3381,1396.35,30.14,134.9
2013-08-26,17.963196322500004,34.15,22.275,14.3105,157.9,166.0,1.3368,1404.4,30.41,135.45
2013-08-27,17.4496254075,33.26,22.191,14.046500000000002,153.23,163.33,1.3392,1416.04,29.1,136.75
2013-08-28,17.531982468000002,33.02,22.285,14.079,152.97,163.91,1.3338,1417.64,28.3,136.71
2013-08-29,17.560696725,33.55,22.06,14.199000000000002,153.63,164.17,1.324,1407.64,28.54,135.87
2013-08-30,17.400554028000002,33.4,21.98,14.049000000000001,152.13,163.65,1.322,1395.69,28.13,134.62
2013-09-02,,,,,,,1.319,1394.29,,
2013-09-03,17.449268265,31.88,22.067,14.440000000000001,154.76,164.39,1.3169,1412.04,28.4,136.42
2013-09-04,17.81037504675,31.195,22.635,14.682,155.74,165.75,1.3207,1390.84,28.58,134.66
2013-09-05,17.6881965975,31.235,22.6,14.705000000000002,156.17,165.96,1.3119,1366.99,27.53,132.2
2013-09-06,17.793553635000002,31.152,22.67,14.793000000000001,156.66,166.04,1.3179,1390.87,28.01,134.15
2013-09-09,18.077481922500002,31.655,22.91,14.9855,159.49,167.634,1.3254,1386.19,27.65,133.91
2013-09-10,17.665696620000002,32.39,22.985,15.018,165.14,168.87,1.3267,1363.59,26.57,131.74
2013-09-11,16.7039118675,32.74,22.81,14.982,165.06,169.4,1.3309,1366.14,26.79,131.7
2013-09-12,16.8817688325,32.69,22.63,14.943000000000001,163.35,168.95,1.3297,1320.19,25.29,127.67
2013-09-13,16.603554825,33.03,23.44,14.896,164.0,169.33,1.3292,1326.26,25.63,127.82
2013-09-16,16.075698210000002,32.801,23.39,14.803,167.03,170.31,1.3333,1313.39,25.39,126.45
2013-09-17,16.26141231,32.93,23.74,15.2085,167.42,171.07,1.3357,1309.04,25.93,126.5
2013-09-18,16.59569769,33.32,23.9,15.601700000000001,168.06,173.051,1.3521,1364.54,28.251,132.01
2013-09-19,16.867840275000002,33.64,23.915,15.603000000000002,167.78,172.76,1.3529,1364.39,27.36,131.75
2013-09-20,16.693197592500002,32.791,23.769,15.817,169.75,170.72,1.3522,1324.99,25.76,127.96
2013-09-23,17.522839620000003,32.74,23.62,15.5745,165.25,169.93,1.3492,1321.54,25.17,127.55
2013-09-24,17.467839675000004,32.455,23.705,15.7065,162.97,169.53,1.3472,1322.59,25.08,127.66
2013-09-25,17.1974828025,32.505,23.7,15.6325,162.31,169.04,1.3525,1332.99,25.52,128.79
2013-09-26,17.364982635000004,32.77,23.41,15.906,162.29,169.69,1.3488,1323.09,25.11,127.79
2013-09-27,17.2410541875,33.27,22.98,15.8005,159.85,168.909,1.3521,1335.71,25.17,128.97
2013-09-30,17.026768687500002,33.28,22.921,15.632,158.21,168.01,1.3524,1326.94,25.02,128.18
2013-10-01,17.42712543,33.58,22.83,16.0475,159.0,169.34,1.3524,1285.99,24.41,124.59
2013-10-02,17.48426823,33.92,22.885,16.0255,158.67,169.18,1.3576,1314.64,24.49,127.06
2013-10-03,17.264625592500003,33.86,22.6,15.738,156.85,167.62,1.3617,1316.69,24.26,127.18
2013-10-04,17.251054177500002,33.88,22.81,15.952000000000002,156.55,168.89,1.3557,1310.79,24.19,126.53
2013-10-07,17.419625437500002,33.3,22.83,15.5015,154.25,167.43,1.3581,1321.29,24.59,127.64
2013-10-08,17.176411395000002,33.01,22.48,15.161500000000002,153.05,165.48,1.3571,1318.3,23.82,127.4
2013-10-09,17.378125479,33.07,22.59,14.911500000000002,154.44,165.6,1.3523,1306.59,23.92,126.11
2013-10-10,17.4870539415,33.76,23.1,15.2587,158.01,169.17,1.3519,1285.57,23.555,124.27
2013-10-11,17.600410971000002,34.13,23.255,15.544450000000001,160.0,170.26,1.3541,1272.62,23.05,122.6
2013-10-14,17.715696570000002,34.45,23.45,15.535,159.46,170.94,1.3561,1272.79,23.11,122.83
2013-10-15,17.809982190000003,34.49,23.39,15.32,157.63,169.7,1.3523,1280.19,23.76,123.73
2013-10-16,17.8969106745,34.64,23.695,15.524500000000002,162.25,172.07,1.3534,1280.99,23.28,123.54
2013-10-17,18.017839125000002,34.92,23.92,15.538499999999999,158.32,173.22,1.3675,1319.09,24.5,127.42
2013-10-18,18.1746246825,34.96,23.875,16.44655,158.69,174.388,1.3684,1315.75,24.38,126.85
2013-10-21,18.6200528085,34.99,24.135,16.322,159.77,174.4,1.3681,1315.14,24.93,126.98
